name,author,affiliation,notes
Sara Tolaney,Tolaney S,Dana-Farber,
Erica Mayer,Mayer E,Dana-Farber,
Rita Nanda,Nanda R,Chicago,TNBC program lead at UChicago
Hope Rugo,Rugo H,San Francisco,Moved to City of Hope in 2024; recent papers may need that affiliation
Peter Schmid,Schmid P,London,KEYNOTE-522 lead; Barts Cancer Institute
Melinda Telli,Telli M,Stanford,
Kevin Kalinsky,Kalinsky K,Emory,Was at Columbia before 2021; early papers indexed there
Lisa Carey,Carey L,North Carolina,
Priyanka Sharma,Sharma P,Kansas,Common surname; affiliation filter is doing real work here
Joyce O'Shaughnessy,O'Shaughnessy J,Texas,Texas Oncology / Baylor Sammons
Leisha Emens,Emens L,Pittsburgh,Immunotherapy specialist; left Pitt in 2023
Javier Cortes,Cortes J,Madrid,International comparator
