name,author,affiliation,notes
Jordan Axelrad,Axelrad J,NYU,
Ellen M Axenfeld,Axenfeld E,Columbia,
Lindsay Clarke,Clarke L,NYU,
Louis J Cohen,Cohen LJ,Sinai,
Jean Frederic Colombel,Colombel JF,Sinai,
Michael Dolinger,Dolinger M,NYU,Runs a pediatric program
Stephanie Gold,Gold S,Sinai,
Zoe S Gottlieb,Gottlieb Z,Sinai,
Alexandra Gutierrez,Gutierrez A,Columbia,
Robert Hirten,Hirten R,Sinai,
Ariela Holmer,Holmer A,NYU,
David Hudesman,Hudesman D,NYU,
Suneeta Krishnareddy,Krishnareddy S,Columbia,
Randy Longman,Longman R,Cornell,
Dana Lukin,Lukin D,Cornell,
Arthur Marc Magun,Magun A,Columbia,
Michael Mintz,Mintz M,Cornell,
Feza Remzi,Remzi F,Northwell,
Sheila Rustgi,Rustgi S,Columbia,
Laura Sahyoun,Sahyoun L,Cornell,
Bruce Sands,Sands BE,Sinai,
Ellen J Scherl,Scherl E,Cornell,
Bo Shen,Shen B,Columbia,
Adam Steinlauf,Steinlauf A,Sinai,
Le-Chu Su,Su LC,Columbia,
Keith Sultan,Sultan K,Northwell,
Arun Swaminath,Swaminath A,Northwell,Some papers indexed only as Lenox Hill; if 0 results try that
Thomas A Ullman,Ullman T,Sinai,Has also been at Montefiore; if 0 results swap affiliation
Ryan Ungaro,Ungaro R,Sinai,
Jessica Allegretti,Allegretti J,Brigham,Field leader; expect very high paper counts
Aline Charabaty,Charabaty A,Hopkins,
Stephen Hanauer,Hanauer S,Northwestern,Field leader
Edward V Loftus Jr,Loftus EV,Mayo,Field leader
Uma Mahadevan,Mahadevan U,San Francisco,
Miguel Regueiro,Regueiro M,Cleveland,
David T Rubin,Rubin DT,Chicago,Field leader
William J Sandborn,Sandborn WJ,San Diego,Field leader
